"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"174",174,174,"greg smith","PF",24,"DAL",42,2,8.6,0.7,1.2,"0.612",0,0,"NA",0.7,1.2,"0.612","0.612",0.5,0.9,"0.513",0.6,1.3,1.9,0.2,0.2,0.3,0.3,1.3,1.9
"175",175,175,"josh smith","PF",29,"TOT",83,35,27.7,5,11.9,"0.419",0.9,2.7,"0.316",4.1,9.1,"0.451","0.456",1.5,3.1,"0.498",1.8,4.6,6.4,3.3,1,1.4,2.5,2.7,12.4
"176",176,176,"jarnell stokes","PF",21,"MEM",19,2,6.6,1.1,1.9,"0.568",0,0,"NA",1.1,1.9,"0.568","0.568",0.8,1.5,"0.536",0.8,0.9,1.8,0.2,0.3,0.3,0.4,1.3,3
"177",177,177,"amare stoudemire","PF",32,"TOT",59,15,21.1,4.6,8.3,"0.557",0,0.1,"0",4.6,8.2,"0.562","0.557",2.3,3.2,"0.72",1.9,3.7,5.6,0.8,0.5,0.6,1.3,2.7,11.5
"178",178,178,"jared sullinger","PF",22,"BOS",58,49,27,5.4,12.2,"0.439",0.9,3.2,"0.283",4.5,9,"0.494","0.476",1.7,2.2,"0.744",2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,13.3
"179",179,179,"mirza teletovic","PF",29,"BRK",40,4,22.3,3.1,8,"0.382",1.6,4.8,"0.321",1.5,3.2,"0.476","0.48",0.8,1.2,"0.717",0.7,4.2,4.9,1.2,0.4,0.4,1.3,1.9,8.5
"180",180,180,"malcolm thomas","PF",26,"PHI",17,0,11.4,1.1,2.4,"0.45",0,0.4,"0",1.1,1.9,"0.545","0.45",0.5,0.8,"0.692",0.9,2.4,3.3,0.4,0.2,0.1,0.8,1,2.6
"181",181,181,"tyrus thomas","PF",28,"MEM",2,0,3.5,0.5,0.5,"1",0,0,"NA",0.5,0.5,"1","1",1,1,"1",0,0,0,0.5,0,0,0,0,2
"182",182,182,"jason thompson","PF",28,"SAC",81,63,24.6,2.5,5.3,"0.47",0,0,"0",2.5,5.3,"0.471","0.47",1.1,1.8,"0.622",1.7,4.8,6.5,1,0.4,0.7,1,3,6.1
"183",183,183,"tristan thompson","PF",23,"CLE",82,15,26.8,3.3,6,"0.547",0,0,"NA",3.3,6,"0.547","0.547",1.9,3,"0.641",3.3,4.7,8,0.5,0.4,0.7,1,2.3,8.5
"184",184,184,"anthony tolliver","PF",29,"TOT",76,11,18.8,2.1,5.2,"0.41",1.4,3.8,"0.366",0.7,1.4,"0.534","0.545",0.7,0.9,"0.783",0.7,2.4,3.1,0.8,0.3,0.2,0.7,1.8,6.3
"185",185,185,"ekpe udoh","PF",27,"LAC",33,0,3.9,0.3,0.7,"0.458",0,0,"NA",0.3,0.7,"0.458","0.458",0.2,0.3,"0.778",0.2,0.6,0.8,0.2,0.2,0.2,0.2,0.6,0.9
"186",186,186,"charlie villanueva","PF",30,"DAL",64,1,10.6,2.3,5.7,"0.414",1.3,3.5,"0.376",1,2.2,"0.475","0.529",0.3,0.5,"0.571",0.5,1.9,2.3,0.3,0.2,0.3,0.4,1,6.3
